coupler_frequency_ghz,static_zz_khz
# Source: Collodo et al., Phys. Rev. Lett. 125, 240502 (2020), Fig. 2(a).
# Dataset: https://doi.org/10.3929/ethz-b-000502238 (CC BY 4.0).
# The source header says Hz, but its values align with the published kHz axis and measured kHz data; stored here as kHz.
5.765778471102566,-56504.3996
5.737964730754388,-67307.1395
5.71164364448518,-79972.6639
5.686934902426913,-94529.6195
5.663933176435645,-110855.58
5.642699930544254,-128645.61
5.62325770648124,-147395.06
5.605588186133378,-166389.743
5.589634536121027,-184696.038
5.575307524851577,-201162.47
5.562494081730292,-214487.508
5.551066642214695,-223443.962
5.540891820191955,-227269.61
5.531837468664273,-225990.543
5.523777764594046,-220369.7
5.516596397489474,-211531.914
5.510188190930848,-200596.325
5.504459568152962,-188494.376
5.499328248033557,-175934.956
5.494722483846383,-163431.467
5.490580072594812,-151341.55
5.486847287766445,-139902.492
5.48347783004937,-129259.588
5.480431849024301,-119488.678
5.477675061206413,-110614.408
5.475177972520984,-102625.131
5.472915203202149,-95484.9732
5.4708649077317455,-89143.3257
5.469008280045276,-83542.0412
5.467329133589723,-78620.6426
5.465813546188446,-74319.8974
5.464449560525047,-70584.1168
5.463226932137163,-67362.5102
5.462136917919786,-64609.8753
5.4611720992116695,-62286.8469
5.460326234500559,-60359.8734
5.459594137653859,-58801.0425
5.458971578338006,-57587.8402
5.4584552019359895,-56702.9026
5.458042466843542,-56133.7964
5.457731597522886,-55872.8531
5.457521552107342,-55917.0718
5.457412003757393,-56268.1011
5.457403335302216,-56932.3035
5.457496647056079,-57920.9055
5.4576937780159005,-59250.2317
5.457997340998257,-60942.0167
5.458410772636161,-63023.78
5.458938399560315,-65529.2415
5.459585522547174,-68498.7319
5.46035852094551,-71979.5315
5.4612649803002835,-76026.0305
5.462313846812592,-80699.5515
5.463515613100591,-86067.611
5.4648825406930985,-92202.3151
5.466428925775547,-99177.4992
5.468171415931926,-107064.148
5.470129386914546,-115923.578
5.472325389771924,-125797.879
5.474785679757655,-136697.118
