bias_z,frequency_ghz,mean_centered_abs_response
# Source: Zhang et al., Phys. Rev. Applied 24, 034003 (2025), Fig. 2 data.
# Dataset: https://doi.org/10.5281/zenodo.16791932 (CC BY 4.0).
# Modified: file-wise mean subtraction, absolute value, and restriction to the two comparison windows.
0.57,4.395000,2.17000033658
0.57,4.390000,0.371436816621
0.57,4.385000,2.34399261988
0.57,4.380000,6.18147080258
0.57,4.375000,0.636101634779
0.57,4.370000,4.37234093618
0.57,4.365000,0.891186547421
0.57,4.360000,2.99171303608
0.57,4.355000,1.74983412322
0.57,4.350000,3.05499162448
0.57,4.345000,5.06608840118
0.57,4.340000,2.40390673568
0.57,4.335000,2.74605582578
0.57,4.330000,1.49778181548
0.57,4.325000,4.15764959578
0.57,4.320000,3.27742412328
0.57,4.315000,5.56242764368
0.57,4.310000,6.01405328658
0.57,4.305000,4.02309353588
0.58,4.945000,6.21453871068
0.58,4.940000,6.22767080828
0.58,4.935000,14.2953496244
0.58,4.930000,5.63374444818
0.58,4.925000,11.1734547681
0.58,4.920000,9.00040457768
0.58,4.915000,9.07946026228
0.58,4.910000,13.7352981999
0.58,4.905000,8.36334030008
0.58,4.900000,9.02091305378
0.58,4.895000,7.34590587908
0.58,4.890000,9.35019664538
0.58,4.885000,3.68301285578
0.58,4.880000,13.7641624451
0.58,4.875000,13.0299285326
0.58,4.870000,9.01507202928
0.58,4.865000,9.58423918538
0.58,4.860000,11.8235848421
0.58,4.855000,13.8019865227
0.58,4.850000,19.9004711875
0.58,4.845000,20.3076764856
0.58,4.840000,21.6914650961
0.58,4.835000,22.7899899456
0.58,4.830000,32.6585961258
0.58,4.825000,29.6505346958
0.58,4.820000,31.9088177558
0.58,4.815000,34.8210906918
0.58,4.810000,44.0493406688
0.58,4.805000,50.7270208368
0.58,4.800000,51.4761869878
0.58,4.800000,3.14561059648
0.58,4.795000,5.12321981218
0.58,4.790000,0.954273376378
0.58,4.785000,1.10002120738
0.58,4.780000,6.06725119942
0.58,4.780000,6.08335155364
0.58,4.775000,6.34067471474
0.58,4.770000,9.40790213824
0.58,4.765000,5.11932325984
0.58,4.760000,3.91113115904
0.58,4.755000,4.96953102324
0.58,4.750000,2.11046525914
0.58,4.745000,1.85906121196
0.58,4.740000,6.61808757316
0.58,4.735000,15.3498349046
0.58,4.730000,51.6611262093
0.58,4.725000,73.3982716143
0.58,4.720000,15.8103535612
0.58,4.715000,2.76087353814
0.58,4.710000,3.54194756294
0.58,4.710000,5.69957631873
0.58,4.705000,5.58695073103
0.58,4.700000,8.65047980463
0.58,4.695000,3.02824224773
0.58,4.690000,9.27441852053
0.58,4.685000,10.8718695622
0.58,4.680000,4.19146209553
0.58,4.675000,4.32454848813
0.58,4.670000,7.60705206913
0.58,4.665000,12.1196188597
0.58,4.660000,11.2684870404
0.58,4.655000,9.82409172943
0.58,4.655000,1.00825647772
0.58,4.650000,1.41431170552
